,incentive,information,Merit_std,Wealth_std,Tuition_Prestige_Corr,Total_Revenue
0,0.0,No information,0.08759862997328223,0.29282538709871414,0.9999841832456055,28.66575031481891
1,0.0,No information,0.08368608037213977,0.2944235516746484,0.9610170127134443,29.347645229336017
2,0.0,No information,0.09614998113055283,0.3007909081771927,0.8794469996242611,40.68082545863476
3,0.0,No information,0.07982671210177877,0.28695696600390225,0.9999952211241008,30.233618203037366
4,0.0,No information,0.09556378786960534,0.28202494318705273,0.9999041372606787,78.51602587379722
5,0.0,No information,0.08768482171277173,0.29137178636103506,0.9848536679707638,129.5544229562839
6,0.0,No information,0.0843830781392509,0.2922196636709906,0.9690908058611627,41.12942537560915
7,0.0,No information,0.08538512941638741,0.2854169839621167,0.8941689628285087,41.98618414706965
8,0.0,No information,0.08921162070689302,0.28936417426742056,0.9922399434617862,135.80462104363423
9,0.0,No information,0.09184058550217458,0.3044264703336429,0.9978659616910487,54.80919672335647
10,0.0,Partial information,0.08915838981137549,0.2184918505359698,0.9734591341885646,57.551743960556756
11,0.0,Partial information,0.08784514229796572,0.1987361756191383,0.9931829435849832,38.51750006691681
12,0.0,Partial information,0.08712886702248611,0.1704871864315196,0.9309177218920551,37.92422857715593
13,0.0,Partial information,0.09209086431067484,0.26151680151228185,0.9858881698901816,116.61596688935566
14,0.0,Partial information,0.08395350862160433,0.27770713472705183,0.9804936365011391,123.99553962115797
15,0.0,Partial information,0.08782627405926287,0.2314294098838073,0.9839416536783493,77.55321448498916
16,0.0,Partial information,0.09363448250987175,0.2481343605616928,0.9916778171785305,92.88760011174956
17,0.0,Partial information,0.08522100383177827,0.2312342982546094,0.9678269625029323,61.619973580316596
18,0.0,Partial information,0.08392304134158934,0.2084568789837622,0.9770310157050068,48.43474930859955
19,0.0,Partial information,0.0799099112422888,0.20580349454440852,0.9734993071403133,65.11592782956876
20,0.0,Perfect information,0.08311920207422568,0.1433554713604231,0.9768702484343524,107.4052615348107
21,0.0,Perfect information,0.07754714431864979,0.14468796586342467,0.9821310367344397,83.92078689630222
22,0.0,Perfect information,0.08827374166488887,0.13772900870143534,0.9996284633474846,139.76785324540387
23,0.0,Perfect information,0.08474559289531361,0.14386673228754115,0.9906688901345799,44.96908964757387
